time_iso8601,stars_cumulative
2025-10-31 00:00:00+00:00,169
2025-11-01 00:00:00+00:00,172
2025-11-03 00:00:00+00:00,173
2025-11-06 00:00:00+00:00,175
2025-11-09 00:00:00+00:00,177
2025-11-12 00:00:00+00:00,178
2025-11-13 00:00:00+00:00,180
2025-11-14 00:00:00+00:00,182
2025-11-17 00:00:00+00:00,183
2025-11-20 00:00:00+00:00,184
2025-11-21 00:00:00+00:00,185
2025-12-02 00:00:00+00:00,186
2025-12-11 00:00:00+00:00,190
2025-12-12 00:00:00+00:00,191
2025-12-13 00:00:00+00:00,193
2025-12-14 00:00:00+00:00,194
2025-12-16 00:00:00+00:00,195
2025-12-18 00:00:00+00:00,196
2025-12-20 00:00:00+00:00,197
2025-12-22 00:00:00+00:00,198
2025-12-24 00:00:00+00:00,199
2025-12-27 00:00:00+00:00,200
2025-12-28 00:00:00+00:00,201
2026-01-02 00:00:00+00:00,202
2026-01-03 00:00:00+00:00,203
2026-01-05 00:00:00+00:00,204
2026-01-07 00:00:00+00:00,205
2026-01-08 00:00:00+00:00,206
2026-01-09 00:00:00+00:00,207
2026-01-11 00:00:00+00:00,208
2026-01-16 00:00:00+00:00,209
2026-01-21 00:00:00+00:00,210
2026-01-22 00:00:00+00:00,211
2026-01-24 00:00:00+00:00,212
2026-01-27 00:00:00+00:00,213
2026-01-29 00:00:00+00:00,214
2026-01-30 00:00:00+00:00,216
2026-02-02 00:00:00+00:00,218
2026-02-03 00:00:00+00:00,219
2026-02-04 00:00:00+00:00,220
2026-02-06 00:00:00+00:00,221
2026-02-11 00:00:00+00:00,223
2026-02-17 00:00:00+00:00,224
2026-02-19 00:00:00+00:00,226
2026-02-22 00:00:00+00:00,227
2026-02-27 00:00:00+00:00,228
2026-03-01 00:00:00+00:00,229
2026-03-04 00:00:00+00:00,230
2026-03-15 00:00:00+00:00,231
2026-03-24 00:00:00+00:00,232
2026-03-26 00:00:00+00:00,234
2026-03-27 00:00:00+00:00,235
2026-04-04 00:00:00+00:00,236
2026-04-09 00:00:00+00:00,237
2026-04-15 00:00:00+00:00,238
2026-04-22 00:00:00+00:00,239
2026-04-25 00:00:00+00:00,240
2026-05-04 00:00:00+00:00,241
2026-05-06 00:00:00+00:00,242
2026-05-18 00:00:00+00:00,243
2026-06-03 00:00:00+00:00,244
2026-06-09 00:00:00+00:00,245
2026-06-10 00:00:00+00:00,246
2026-06-11 00:00:00+00:00,247
2026-06-12 00:00:00+00:00,250
2026-06-26 00:00:00+00:00,251
2026-06-27 00:00:00+00:00,252
2026-07-03 00:00:00+00:00,253
2026-07-05 00:00:00+00:00,254
2026-07-10 00:00:00+00:00,255
2026-07-17 00:00:00+00:00,256
2026-07-25 00:00:00+00:00,257
2026-07-28 00:00:00+00:00,258
2026-08-05 00:00:00+00:00,259
2026-08-18 00:00:00+00:00,260
2026-08-20 00:00:00+00:00,261
2026-08-25 00:00:00+00:00,262
2026-08-26 00:00:00+00:00,263
